TEASPOON;Teelöffel;Teelöffel;TL;Teeloeffel
TABLESPOON;Esslöffel;Esslöffel;EL;Essloeffel
FLUIDOUNCE;
CUP;Tasse;Tassen
CAN;Dose;Dosen
PINT
QUART
GALON;Gallone;Gallonen;gal
LITERS;Liter;Liter;l
MILLILITERS;Milliliter;Milliliter;ml
DECILITER;Deciliter;Deciliter;dl
GRAM;Gramm;Gramm;g
OUNCE;Unze;Unzen;oz
POUND;Pfund;Pfund;lb
MILLIGRAM;Milligramm;Milligramm;mg
KILOGRAM;Kilogramm;Kilogramm;kg
INCH;Inch;Inch;in
MILLIMETER;Millimeter;Millimeter;mm
CENTIMETER;Centimeter;Centimeter;cm
DECIMETER;Decimeter;Decimeter;dm
METER;Meter;Meter;m
PIECES;Stück;Stück;stk;stk.;Stueck;pcs
KCAL;Kilokalorie;Kilokalorien;kcal
UNDEF;;;